epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,1478.38,1.50869,1.96607,1.68168,0.52464,0.51384,0.50085,0.26121,1.61997,1.63937,1.59745,0.004984,0.004984,0.004984
154,1488.06,1.51103,1.98557,1.69805,0.48615,0.48972,0.46096,0.2353,1.62266,1.70052,1.59268,0.004951,0.004951,0.004951
155,1497.91,1.50503,2.00264,1.68946,0.49468,0.50813,0.48112,0.24407,1.64999,1.68267,1.60541,0.004918,0.004918,0.004918
156,1507.54,1.49794,1.97484,1.65815,0.50653,0.52631,0.4897,0.25104,1.63572,1.64358,1.6074,0.004885,0.004885,0.004885
157,1517.11,1.51101,1.92739,1.66747,0.46911,0.48061,0.45565,0.23929,1.57321,1.69501,1.56426,0.004852,0.004852,0.004852
158,1526.72,1.49245,1.95755,1.67693,0.46325,0.53344,0.49137,0.26311,1.61707,1.62822,1.5941,0.004819,0.004819,0.004819
159,1536.38,1.48304,1.93121,1.65466,0.50187,0.50375,0.50004,0.26713,1.57103,1.63547,1.56661,0.004786,0.004786,0.004786
160,1546.35,1.50168,1.96494,1.67496,0.51224,0.50581,0.48419,0.25232,1.63791,1.66477,1.59587,0.004753,0.004753,0.004753
161,1555.77,1.49342,1.9538,1.65979,0.53466,0.47979,0.48147,0.24888,1.6561,1.65972,1.5992,0.00472,0.00472,0.00472
162,1565.18,1.49594,1.94292,1.67546,0.52553,0.49692,0.48473,0.25923,1.62743,1.63089,1.57484,0.004687,0.004687,0.004687
163,1574.72,1.49576,1.93018,1.65667,0.5045,0.50453,0.49951,0.2737,1.54192,1.60112,1.5255,0.004654,0.004654,0.004654
164,1584.32,1.48077,1.95751,1.67044,0.53965,0.48097,0.49973,0.25889,1.58814,1.62422,1.58132,0.004621,0.004621,0.004621
165,1594.06,1.4818,1.93005,1.66861,0.538,0.48766,0.4936,0.25823,1.58842,1.64797,1.56149,0.004588,0.004588,0.004588
